name,estimated_period_beginning,estimated_period_ending,descriptions,material_number,material_to_material,old_id,position,underage,,,,
花台,明治9年,昭和38年10月,,1,,1,B正,,,,,
花台,明治9年,昭和38年10月,,2,,2,B正,,,,,
花瓶,明治9年,昭和38年10月,,3,,3,B正,,,,,
花瓶,明治9年,昭和38年10月,,4,,4,B正,,,,,
花台上の部材,明治9年,昭和38年10月,,5,,5,B正,無,,,,
花台上の部材,明治9年,昭和38年10月,,6,,6,B正,,,,,
力士,明治9年,昭和38年10月,,7,433,木鼻7,,,,,,
枡合,明治9年,昭和38年10月,→車板（獅子）,11,460,556,557,11,A背,,,
枡合（獅子の尾）,明治9年,昭和38年10月,,12,,11-(1),A背,,,,,
枡合,明治9年,昭和38年10月,→車板（獅子）.力士とともに角度を変えて再撮影,13,575,12,A側,,,,,
枡合（獅子の尾）,明治9年,昭和38年10月,,14,447,542,12-(1),A側,,,,
脇障子,明治9年,昭和38年10月,,15,459,13,B側（左）,有,,,,
車板,明治9年,昭和38年10月,,16,,14,A側,有,,,,
不明部材,明治9年,昭和38年10月,,17,,15,不明,,,,,
虹梁,明治9年,昭和38年10月,,19,452,453,560,17,A背,,,
虹梁,明治9年,昭和38年10月,,20,456,581,18,A側,,,,
虹梁,明治9年,昭和38年10月,,21,,19,A側,,,,,
縁葛（馬、羊）,明治9年,昭和38年10月,,29,,21,B,,,,,
縁葛,明治9年,昭和38年10月,,30,443,22,B,,,,,
縁葛,明治9年,昭和38年10月,,31,,23,B,,,,,
縁葛（植物）,明治9年,昭和38年10月,,32,,24,B,,,,,
車板,明治9年,昭和38年10月,,33,305,25,A側,,,,,
脇障子,明治9年,昭和38年10月,戸口上,36,,26,B,,,,,
土呂幕,明治9年,昭和38年10月,,37,,27,C,,,,,
土呂幕,明治9年,昭和38年10月,,38,,28,C正,,,,,
土呂幕,明治9年,昭和38年10月,,39,,29,C正,,,,,
土呂幕,明治9年,昭和38年10月,,40,,30,C正,,,,,
懸魚（鷲）,明治9年,昭和38年10月,カード無し,41,457,564,565,566,31,A背,,
